First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Rolando,Dy,Dy Incredible,68.0,145.0,69.0,Orthodox,9,7,1,
Ben,Earwood,,68.0,170.0,,Orthodox,12,3,0,
Cody,East,The Freight Train,75.0,245.0,,Orthodox,12,3,0,
Marvin,Eastman,The Beastman,69.0,185.0,73.0,Orthodox,18,15,1,
Mike,Easton,The Hulk,66.0,135.0,70.0,Southpaw,13,6,0,
Maurice,Eazel,,67.0,135.0,,Unrecorded,7,15,0,
Vincent,Eazelle,The Real Deal,71.0,155.0,,Unrecorded,9,2,0,
Ross,Ebanez,The Boss,69.0,154.0,,Southpaw,20,10,0,
Brian,Ebersole,Bad Boy,72.0,170.0,73.0,Southpaw,51,18,1,
Roybert,Echeverria,The Unbroken,65.0,125.0,67.0,Switch,7,1,0,
Mark,Eddiva,,68.0,145.0,68.0,Orthodox,6,3,0,
Frankie,Edgar,The Answer,66.0,135.0,68.0,Orthodox,23,11,1,
Abdul-Kerim,Edilov,,74.0,205.0,,Orthodox,17,4,0,
Johnny,Eduardo,,67.0,135.0,71.0,Orthodox,28,13,0,
Yves,Edwards,,69.0,155.0,73.0,Southpaw,42,22,1,
Justin,Edwards,Fast Eddy,70.0,155.0,70.0,Orthodox,9,5,0,
Leon,Edwards,Rocky,74.0,170.0,74.0,Southpaw,22,5,0,
Te,Edwards,,68.0,155.0,72.0,Orthodox,6,3,0,
Adli,Edwards,,,145.0,,Unrecorded,4,1,0,
Joselyne,Edwards,La Pantera,68.0,135.0,70.0,Orthodox,14,6,0,
Tom,Egan,,71.0,170.0,,Orthodox,7,5,0,
Stephanie,Egger,,66.0,135.0,68.0,Orthodox,8,5,0,
Justin,Eilers,The Hammer,73.0,235.0,,Orthodox,19,7,1,
Jon Olav,Einemo,The Viking,78.0,253.0,,Orthodox,6,3,0,
Per,Eklund,,70.0,155.0,72.0,Orthodox,14,5,1,
John,Elam,,,,,Unrecorded,2,0,0,
Evan,Elder,The Phenom,70.0,155.0,72.0,Switch,9,2,0,
Billy,Elekana,Son of Susie,75.0,205.0,77.0,Southpaw,7,2,0,
John Paul,Elias,,76.0,205.0,,Unrecorded,3,1,0,
Joao,Elias,Alicate,63.0,125.0,64.0,Southpaw,17,4,1,
Saul,Elizondo,,67.0,135.0,,Unrecorded,6,8,0,
Darren,Elkins,The Damage,70.0,145.0,71.0,Orthodox,29,11,0,
Jake,Ellenberger,The Juggernaut,69.0,170.0,71.0,Orthodox,31,15,0,
Joe,Ellenberger,Excalibur,69.0,155.0,72.0,Orthodox,15,2,0,
Tim,Elliott,,67.0,125.0,66.0,Southpaw,21,13,1,
Oban,Elliott,The Welsh Gangster,72.0,170.0,72.0,Orthodox,12,2,0,
Eddy,Ellis,Fast,69.0,170.0,,Orthodox,21,16,1,
Lisa,Ellis,,64.0,115.0,,Unrecorded,15,11,0,
Anna,Elmose,Panda,63.0,115.0,,Orthodox,3,2,0,
Cameron,Else,Camchida,69.0,135.0,71.0,Switch,10,6,0,
Aaron,Ely,The Cyborg,68.0,135.0,,Unrecorded,5,2,0,
Sovannahry,Em,The Sweet Savage,64.0,135.0,,Unrecorded,3,1,0,
Ramazan,Emeev,Gorets,70.0,170.0,76.0,Southpaw,20,6,0,
Aleksander,Emelianenko,,78.0,255.0,,Orthodox,23,7,0,
Fedor,Emelianenko,The Last Emperor,72.0,230.0,74.0,Orthodox,36,5,0,
Rob,Emerson,The Saint,69.0,155.0,70.0,Orthodox,18,12,0,
Jamall,Emmers,Pretty Boy,70.0,145.0,74.0,Orthodox,20,8,0,
Josh,Emmett,CC0,66.0,145.0,70.0,Orthodox,19,4,0,
Marius,Enache,,71.0,155.0,,Unrecorded,3,3,0,
Kevin,Engel,The Hitman,74.0,170.0,,Unrecorded,5,1,0,
Kolton,Englund,White Assassin,70.0,155.0,69.0,Orthodox,9,4,0,
Oliver,Enkamp,,72.0,170.0,77.0,Switch,7,2,0,
Alex,Enlund,,70.0,145.0,,Orthodox,14,2,0,
Kenny,Ento,Tha' Dragon,74.0,192.0,,Unrecorded,14,15,0,
Ian,Entwistle,Enty,65.0,135.0,,Orthodox,9,3,0,
Andy,Enz,Tank Mode,75.0,185.0,78.0,Orthodox,10,4,0,
Won Jin,Eoh,,67.0,160.0,,Orthodox,5,5,1,
Josh,Epps,,,130.0,,Unrecorded,6,7,0,
Abdellah,Er-Ramy,The Golden Boy,72.0,185.0,74.0,Orthodox,7,2,0,
Steve,Erceg,Astroboy,68.0,125.0,68.0,Orthodox,12,3,0,
Tom,Erikson,The Big Cat,75.0,280.0,,Orthodox,9,4,1,
Konstantin,Erokhin,,71.0,230.0,,Orthodox,9,3,0,
Julian,Erosa,Juicy J,73.0,145.0,74.0,Southpaw,30,12,0,
Jarno,Errens,,71.0,145.0,73.0,Orthodox,14,6,1,
Ivan,Erslan,,74.0,205.0,72.0,Orthodox,14,4,0,
Nick,Ertl,,69.0,155.0,,Unrecorded,8,6,0,
Chel,Erwin-Davis,The First Sun,72.0,170.0,,Unrecorded,5,1,0,
Bobby,Escalante,,,130.0,,Unrecorded,5,6,0,
Eric,Esch,Butterbean,71.0,350.0,,Orthodox,15,10,1,
Pro,Escobedo,,,205.0,,Unrecorded,1,0,0,
Cole,Escovedo,Apache Kid,67.0,135.0,72.0,Orthodox,17,9,0,
Efrain,Escudero,Hecho En Mexico,69.0,155.0,71.0,Orthodox,28,12,0,
Evan,Esguerra,,,145.0,,Unrecorded,8,7,0,
Carla,Esparza,Cookie Monster,61.0,115.0,63.0,Orthodox,20,8,0,
Juan,Espino,El Guapo,75.0,255.0,80.0,Orthodox,11,2,0,
Jordan,Espinosa,The Gamer,66.0,125.0,69.0,Orthodox,15,9,0,
Jodie,Esquibel,,61.0,115.0,64.0,Orthodox,6,6,0,
Rafael,Estevam,Macapa,68.0,125.0,69.0,Orthodox,13,0,0,
Achilles,Estremadura,,70.0,155.0,68.0,Orthodox,7,1,0,
Shaun,Etchell,The Buzzsaw,67.0,125.0,68.0,Switch,7,3,0,
Terry,Etim,,73.0,155.0,73.0,Orthodox,16,5,0,
Fred,Ettish,,72.0,180.0,,Southpaw,1,1,0,
Scott,Ettling,,,135.0,,Unrecorded,4,2,0,
Sijara,Eubanks,SarJ,64.0,125.0,67.0,Orthodox,8,7,0,
Billy,Evangelista,,68.0,155.0,68.0,Orthodox,13,3,0,
Rashad,Evans,Suga,72.0,205.0,75.0,Orthodox,19,8,1,
Doug,Evans,,69.0,155.0,,Orthodox,13,10,0,
Ashlee,Evans-Smith,Rebel Girl,68.0,135.0,67.0,Orthodox,6,6,0,
Dan,Evensen,The Viking,75.0,250.0,,Orthodox,11,4,0,
Tonya,Evinger,Triple Threat,67.0,135.0,70.0,Orthodox,19,8,0,
Movsar,Evloev,,67.0,145.0,72.0,Orthodox,19,0,0,
Andre,Ewell,Mr. Highlight,68.0,145.0,75.0,Southpaw,17,9,0,
Neal,Ewing,,,185.0,,Unrecorded,6,0,0,
Jessica,Eye,Evil,66.0,125.0,66.0,Orthodox,15,11,0,
Edward,Faaloloto,,,155.0,70.0,Orthodox,2,5,0,
Urijah,Faber,The California Kid,66.0,135.0,67.0,Orthodox,35,11,0,
Melinda,Fabian,,66.0,125.0,66.0,Orthodox,4,4,2,
Wagnney,Fabiano,The Silencer,66.0,145.0,69.0,Southpaw,16,4,0,
Bartosz,Fabinski,The Butcher,72.0,170.0,75.0,Orthodox,15,5,0,
Ron,Faircloth,,69.0,205.0,,Orthodox,33,20,0,
Jason,Fairn,,73.0,230.0,,Unrecorded,4,5,0,
Zarah,Fairn,Infinite,68.0,135.0,72.0,Orthodox,6,6,0,
Rinat,Fakhretdinov,Gladiator,72.0,170.0,74.0,Orthodox,23,1,1,
Maiquel,Falcao,Big Rig,71.0,185.0,,Orthodox,37,10,0,
Pedro,Falcao,Pedrinho,66.0,135.0,66.0,Orthodox,16,4,0,
Brodie,Farber,,73.0,170.0,,Orthodox,16,7,0,
Joao Paulo,Faria,,69.0,155.0,,Unrecorded,1,1,0,
Kalindra,Faria,,67.0,125.0,,Switch,18,8,1,
Jair,Farias,Chosen,73.0,145.0,76.0,Orthodox,10,1,0,
Chance,Farrar,,69.0,145.0,,Southpaw,8,3,0,
Rico,Farrington,The Triggerman,76.0,170.0,79.0,Southpaw,7,3,0,
Kelly,Faszholz,,68.0,135.0,,Orthodox,4,2,0,
Rodney,Faverus,,72.0,215.0,,Southpaw,25,20,3,
Paul,Felder,The Irish Dragon,71.0,155.0,70.0,Orthodox,17,6,0,
Carlos,Felipe,Boi,72.0,245.0,75.0,Orthodox,11,2,0,
JP,Felty,,,170.0,,Unrecorded,4,5,0,
Feng,Pengchao,,,135.0,,Unrecorded,15,9,1,
Feng,Xiaocan,,67.0,115.0,66.0,Southpaw,10,3,0,
Kevin,Ferguson,Kimbo Slice,74.0,235.0,77.0,Orthodox,5,2,0,
Rhadi,Ferguson,,67.0,205.0,,Unrecorded,3,0,0,
Tony,Ferguson,El Cucuy,71.0,170.0,76.0,Orthodox,26,11,0,
Josh,Ferguson,Taz,65.0,125.0,,Orthodox,10,5,0,
CJ,Fernandes,,74.0,170.0,,Unrecorded,14,8,3,
Bibiano,Fernandes,,67.0,139.0,,Orthodox,20,3,0,
Gabriella,Fernandes,Gabi,66.0,125.0,66.0,Southpaw,10,3,0,
Kaue,Fernandes,,69.0,155.0,73.0,Orthodox,10,2,0,
Emily,Fernandez,,,,,Unrecorded,0,0,0,
Lucas,Fernando,,75.0,185.0,80.0,Unrecorded,9,2,0,
Alexandre,Ferreira,Cacareco,67.0,205.0,,Orthodox,18,6,0,
Cezar,Ferreira,Mutante,73.0,185.0,78.0,Southpaw,13,8,0,
Diego,Ferreira,,69.0,155.0,74.0,Orthodox,19,6,0,
Erisson,Ferreira,Gato,66.0,125.0,70.0,Orthodox,12,2,0,
Brunno,Ferreira,The Hulk,70.0,185.0,72.0,Orthodox,13,2,0,
Scott,Ferrozzo,The Pitbull,71.0,323.0,,Orthodox,4,2,0,
Timo,Feucht,,75.0,205.0,79.0,Orthodox,8,1,0,
Andre,Fialho,,72.0,170.0,74.0,Orthodox,16,8,0,
Drew,Fickett,The Master,70.0,155.0,70.0,Orthodox,42,21,0,
Scott,Fiedler,,76.0,235.0,,Orthodox,0,1,0,
Ron,Fields,Killing,74.0,200.0,,Orthodox,28,32,1,
Michal,Figlak,Mad Dog,70.0,155.0,70.0,Orthodox,8,2,0,
Deiveson,Figueiredo,Deus da Guerra,65.0,135.0,68.0,Orthodox,24,4,1,
Francisco,Figueiredo,Sniper,66.0,125.0,68.0,Southpaw,13,5,1,
Anthony,Figueroa,,64.0,135.0,,Orthodox,11,8,1,
Edwin,Figueroa,El Feroz,67.0,135.0,69.0,Orthodox,9,5,0,
Paulo,Filho,,68.0,185.0,,Southpaw,23,6,3,
Jafel,Filho,Pastor,67.0,125.0,68.0,Orthodox,16,3,0,
Andre,Fili,Touchy,71.0,145.0,74.0,Orthodox,24,12,0,
Mirko,Filipovic,Cro Cop,74.0,230.0,73.0,Southpaw,35,11,2,
Brady,Fink,,72.0,183.0,,Orthodox,2,3,0,
Jesse,Finney,,72.0,170.0,,Unrecorded,5,1,0,
Jan,Finney,Cuddles,68.0,135.0,,Orthodox,11,12,0,
Torrez,Finney,The Punisher,68.0,185.0,75.0,Orthodox,10,0,0,
Luigi,Fioravanti,,68.0,170.0,70.0,Orthodox,26,15,0,
Nick,Fiore,,70.0,155.0,72.0,Orthodox,6,2,0,
Manon,Fiorot,The Beast,67.0,125.0,65.0,Orthodox,12,1,0,
Luiz,Firmino,Buscape,66.0,154.0,,Orthodox,19,8,0,
Spencer,Fisher,The King,67.0,155.0,68.0,Southpaw,24,9,0,
Chris,Fishgold,,68.0,145.0,68.0,Orthodox,18,4,1,
Bryanna,Fissori,,64.0,145.0,,Unrecorded,2,4,0,
Jon,Fitch,,72.0,170.0,74.0,Orthodox,30,7,1,
Isi,Fitikefu,Doxz,70.0,205.0,,Unrecorded,6,0,0,
Rafael,Fiziev,Ataman,68.0,155.0,71.0,Switch,12,4,0,
Colin,Fletcher,The Freakshow,74.0,155.0,,Orthodox,14,8,0,
AJ,Fletcher,The Ghost,70.0,170.0,67.0,Switch,10,3,0,
Nathan,Fletcher,,67.0,135.0,70.0,Orthodox,9,2,0,
Jimmy,Flick,The Brick,67.0,125.0,68.0,Orthodox,17,8,0,
Luke,Flores,,72.0,155.0,73.0,Southpaw,9,2,0,
Ty,Flores,Big Medicine,75.0,205.0,73.0,Switch,7,3,0,
Alejandro,Flores,El Gallito,70.0,145.0,73.0,Orthodox,17,3,0,
Kenny,Florian,KenFlo,70.0,145.0,74.0,Southpaw,14,6,0,
Darrius,Flowers,Beast Mode,69.0,155.0,71.0,Orthodox,12,8,1,
Cody,Floyd,,,,,Unrecorded,2,0,0,
Bobby,Flynn,,,170.0,,Unrecorded,6,4,0,
Caros,Fodor,The Future,69.0,155.0,74.0,Orthodox,11,6,0,
Mal,Foki,Twin Tiger,67.0,220.0,,Orthodox,5,5,0,
Matt,Foki,Twin Tiger,67.0,220.0,,Orthodox,5,4,0,
AJ,Fonseca,,64.0,145.0,,Unrecorded,5,4,0,
Rob,Font,,68.0,135.0,71.0,Orthodox,22,8,0,
Claudionor,Fontinelle,,65.0,185.0,,Orthodox,10,15,1,
Jesse,Forbes,Kid Hercules,74.0,185.0,75.0,Southpaw,15,5,0,
Sterling,Ford,,70.0,155.0,,Unrecorded,15,7,0,
Codale,Ford,Crunch Time,69.0,170.0,,Unrecorded,11,9,0,
Raheam,Forest,Rambo,71.0,170.0,73.0,Switch,7,2,0,
Jussier,Formiga,,65.0,125.0,67.0,Orthodox,23,8,0,
Renee,Forte,,67.0,155.0,71.0,Orthodox,8,4,0,
Brianna,Fortino,The Bull,60.0,115.0,62.0,Southpaw,9,3,0,
Marcel,Fortuna,,73.0,205.0,74.0,Orthodox,9,3,0,
Brian,Foster,The Foster Boy,69.0,170.0,71.0,Orthodox,27,10,0,
Xavier,Foupa-Pokam,Professor X,73.0,185.0,,Open Stance,32,22,0,
Mason,Fowler,,71.0,170.0,,Unrecorded,2,0,0,
Brandon,Foxworth,,71.0,145.0,,Orthodox,18,4,0,
Hermes,Franca,,66.0,155.0,71.0,Orthodox,24,17,0,
Glaico,Franca Moreira,Nego,72.0,155.0,77.0,Orthodox,15,5,0,
Francisco,France,Kiko,72.0,205.0,,Unrecorded,13,5,1,
John,Franchi,,66.0,145.0,67.0,Orthodox,6,2,0,
Rich,Franklin,Ace,73.0,185.0,76.0,Southpaw,29,7,0,
Xavier,Franklin,Mr. Benjamin,66.0,135.0,66.0,Southpaw,5,1,0,
Zoila,Frausto,Warrior Princess,64.0,135.0,,Orthodox,13,5,0,
Stephanie,Frausto,Lil Bovy,62.0,115.0,61.0,Orthodox,8,7,0,
Zane,Frazier,Nasty,77.0,250.0,,Orthodox,4,11,0,
Gary,Frazier,,72.0,245.0,,Orthodox,3,3,0,
Justin,Frazier,The Grizzly Bear,72.0,265.0,75.0,Southpaw,10,3,0,
Ian,Freeman,The Machine,71.0,225.0,,Orthodox,20,7,1,
Jason,Freeman,,74.0,225.0,,Unrecorded,6,4,0,
Kennedy,Freeman,The Machine 2.0,,135.0,,Unrecorded,6,0,0,
Willamy,Freire,Chiquerim,68.0,155.0,,Orthodox,26,6,0,
Patricio,Freire,Pitbull,65.0,145.0,65.0,Unrecorded,26,4,0,
Patricky,Freire,Pitbull,67.0,155.0,71.0,Unrecorded,17,8,0,
Jeremy,Freitag,,73.0,205.0,,Unrecorded,6,10,0,
Rafael,Freitas,Capoeira,,205.0,,Orthodox,3,6,0,
Donavon,Frelow,,67.0,135.0,,Orthodox,6,3,0,
Josh,Fremd,,76.0,185.0,76.0,Orthodox,11,6,0,
Clay,French,,67.0,161.0,,Southpaw,19,7,0,
Mike,French,,70.0,145.0,,Unrecorded,9,10,0,
Matt,Frevola,The SteamRolla,69.0,155.0,71.0,Orthodox,11,5,1,
Jinh Yu,Frey,,63.0,115.0,65.0,Southpaw,11,10,0,
Artem,Frolov,,70.0,185.0,,Unrecorded,11,0,0,
Sarah,Frota,A Treta,66.0,125.0,69.0,Southpaw,9,2,0,
Daniel,Frunza,,73.0,170.0,73.0,Orthodox,9,2,0,
Don,Frye,The Predator,73.0,219.0,,Orthodox,20,9,1,
Tony,Fryklund,The Freak,72.0,185.0,,Orthodox,14,9,1,
Adam,Fugitt,,73.0,170.0,77.0,Southpaw,10,4,0,
Jesse,Fujarczyk,The Ronin,76.0,225.0,,Southpaw,2,2,0,
Katsuhisa,Fujii,Shamoji,72.0,205.0,,Orthodox,9,18,1,
Megumi,Fujii,Mega Megu,63.0,113.0,,Unrecorded,26,3,0,
Kazuyuki,Fujita,Ironhead,72.0,235.0,,Orthodox,15,12,0,
Keisuke,Fujiwara,,66.0,139.0,,Switch,17,12,5,
Riki,Fukuda,,72.0,185.0,73.0,Southpaw,24,9,0,
Masio,Fullen,Lobo,70.0,145.0,70.0,Orthodox,11,7,0,
Travis,Fulton,The Ironman,72.0,240.0,,Orthodox,253,53,10,
Sam,Fulton,,,,,Unrecorded,0,2,0,
Masakatsu,Funaki,,72.0,185.0,,Southpaw,39,13,2,
Ricardo,Funch,Golden Boy,70.0,170.0,74.0,Southpaw,9,6,0,
Katsuaki,Furuki,,72.0,168.0,,Unrecorded,1,1,0,
James,Gabert,,,178.0,,Unrecorded,6,4,0,
Gustavo,Gabriel,,66.0,125.0,,Orthodox,13,1,0,
Claudia,Gadelha,Claudinha,64.0,115.0,63.0,Orthodox,18,5,0,
Alavutdin,Gadjiev,,74.0,185.0,,Orthodox,18,13,1,
Magomed,Gadzhiyasulov,,74.0,205.0,75.0,Orthodox,9,1,0,
Justin,Gaethje,The Highlight,71.0,155.0,70.0,Orthodox,26,5,0,
Sheila,Gaff,The German Tank,65.0,135.0,,Orthodox,9,7,0,
Muin,Gafurov,Tajik,67.0,135.0,68.0,Orthodox,20,6,0,
Mitch,Gagnon,,65.0,135.0,65.0,Southpaw,12,5,0,
Brandon,Gaines,,75.0,185.0,,Unrecorded,5,21,0,
Travis,Galbraith,The Gladiator,72.0,170.0,,Orthodox,18,7,0,
Dave,Galera,Scarecrow,71.0,135.0,,Orthodox,5,1,0,
Zelg,Galesic,Benkei,74.0,185.0,,Orthodox,11,9,0,
Mickey,Gall,,74.0,170.0,74.0,Switch,7,7,0,
Daniel,Gallemore,Big Kansas,77.0,265.0,,Unrecorded,7,3,0,
Tom,Gallicchio,Da Tank,70.0,170.0,,Southpaw,19,10,0,
Turrell,Galloway,,63.0,145.0,,Unrecorded,8,6,0,
Eric,Galvan,,,155.0,,Unrecorded,0,0,0,
Andre,Galvao,,67.0,168.0,,Orthodox,5,2,0,
Marcos,Galvao,Loro,67.0,135.0,,Orthodox,18,8,1,
Lucas,Gamaza,,,170.0,,Unrecorded,8,4,0,
Joey,Gambino,The Raging Warrior,67.0,145.0,,Orthodox,9,2,0,
Manvel,Gamburyan,The Anvil,65.0,135.0,67.0,Orthodox,15,10,0,
Mateusz,Gamrot,Gamer,70.0,155.0,70.0,Southpaw,24,3,0,
Shamil,Gamzatov,,74.0,205.0,76.0,Orthodox,14,1,0,
Ariel,Gandulla,,71.0,205.0,,Orthodox,7,9,0,
Ciryl,Gane,Bon Gamin,76.0,245.0,81.0,Orthodox,13,2,0,
Sean,Gannon,The Cannon,75.0,265.0,,Southpaw,2,1,0,
Junye,Gao,,,125.0,,Unrecorded,19,12,0,
Eduardo,Garagorri,,69.0,145.0,70.0,Orthodox,13,2,0,
Cody,Garbrandt,No Love,68.0,135.0,65.0,Orthodox,14,6,0,
Leonard,Garcia,Bad Boy,70.0,145.0,68.0,Orthodox,18,13,1,
Edgar,Garcia,,70.0,170.0,71.0,Orthodox,14,5,0,
Alejandro,Garcia,Alex,67.0,145.0,,Unrecorded,14,10,0,
Alex,Garcia,The Dominican Nightmare,69.0,170.0,72.0,Orthodox,15,6,0,
Nick,Garcia,Nitro,64.0,125.0,,Unrecorded,8,3,0,
Steve,Garcia,Mean Machine,72.0,145.0,75.0,Southpaw,17,5,0,
Elias,Garcia,,65.0,125.0,67.0,Southpaw,6,2,0,
Rafa,Garcia,Gifted,67.0,155.0,70.0,Orthodox,16,4,0,
Fernie,Garcia,,67.0,135.0,67.0,Orthodox,10,5,0,
Rulon,Gardner,,75.0,265.0,,Orthodox,1,0,0,
David,Gardner,,71.0,155.0,,Orthodox,18,21,0,
Pablo,Garza,The Scarecrow,73.0,145.0,73.0,Orthodox,12,4,0,
Azamat,Gashimov,,66.0,125.0,,Orthodox,8,3,0,
Brian,Gassaway,,73.0,170.0,,Orthodox,29,20,2,
Kelvin,Gastelum,,69.0,185.0,71.0,Southpaw,20,9,0,
Willie,Gates,,68.0,125.0,72.0,Orthodox,12,7,0,
Melissa,Gatto,,65.0,135.0,69.0,Orthodox,9,2,2,
Sean,Gauci,,65.0,125.0,64.0,Switch,10,1,0,
Louis,Gaudinot,Goodnight,63.0,125.0,63.0,Orthodox,8,4,0,
Ateba,Gautier,The Silent Assassin,76.0,185.0,81.0,Switch,6,1,0,
Manuel,Gaxhja,,68.0,155.0,,Switch,7,0,0,
Shamil,Gaziev,,76.0,265.0,78.0,Orthodox,14,1,0,
Charlene,Gellner,Princess,62.0,125.0,,Unrecorded,0,4,0,
Chad,George,Savage,66.0,135.0,68.0,Southpaw,16,8,0,
Paul,Georgieff,,74.0,170.0,,Orthodox,6,2,0,
Brian,Geraghty,Duke,67.0,155.0,,Orthodox,26,18,1,
Derek,Getzel,The Pretzel,72.0,155.0,,Unrecorded,8,5,0,
Karine,Gevorgyan,The Princess,64.0,125.0,63.0,Unrecorded,3,3,0,
Yanis,Ghemmouri,The Desert Warrior,69.0,135.0,69.0,Orthodox,12,3,0,
Darrel,Gholar,,68.0,194.0,,Orthodox,5,6,0,
Tiki,Ghosn,,70.0,170.0,,Orthodox,10,7,1,
Christos,Giagos,The Spartan,70.0,155.0,71.0,Orthodox,20,12,0,
Joe,Giannetti,,72.0,155.0,74.0,Southpaw,6,1,0,
Nick,Gibbons,,70.0,155.0,,Unrecorded,2,1,0,
James,Giboo,,71.0,170.0,,Orthodox,13,5,0,
Lance,Gibson,Fearless,69.0,185.0,,Orthodox,4,5,0,
Lee,Gibson,Lethal,67.0,155.0,,Unrecorded,12,4,0,
Cody,Gibson,The Renegade,70.0,135.0,71.0,Orthodox,22,11,0,
Chase,Gibson,El Guero,70.0,155.0,72.0,Orthodox,9,5,0,
Kenny,Giddens,,71.0,155.0,,Unrecorded,12,7,0,
Thomas,Gifford,The Young Lion,73.0,155.0,75.0,Orthodox,14,9,0,
Joseph,Gigliotti,Capo,71.0,185.0,,Orthodox,7,2,0,
Joey,Gilbert,,71.0,155.0,,Orthodox,2,3,0,
Trevin,Giles,,72.0,170.0,74.0,Orthodox,16,7,0,
Kultar,Gill,Black Mamba,72.0,154.0,,Orthodox,12,8,0,
Jesse,Gillespie,,,185.0,,Unrecorded,3,2,0,
Gregor,Gillespie,The Gift,67.0,155.0,71.0,Orthodox,14,1,0,
Jason,Gilliam,,72.0,170.0,,Orthodox,14,9,0,
Micheal,Gillmore,The Gentleman,71.0,170.0,72.0,Orthodox,6,5,0,
Krishaun,Gilmore,,,,,Unrecorded,0,1,0,
Alex,Gilpin,,67.0,145.0,,Orthodox,11,1,0,
Bob,Gilstrap,,75.0,200.0,,Orthodox,5,7,0,
Eperaim,Ginting,The Wolfman,64.0,135.0,64.0,Orthodox,6,1,0,
Demetrius,Gioulacos,,71.0,185.0,,Unrecorded,0,1,0,
Billy,Giovanella,Wolverine,68.0,125.0,,Unrecorded,9,5,0,
He-Man,Gipson,,,,,Unrecorded,1,2,0,
Israel,Giron,El Rojo,68.0,155.0,,Unrecorded,19,5,0,
Brandon,Girtz,Cold Roll,67.0,155.0,,Unrecorded,14,7,0,
Jason,Glaza,,72.0,230.0,,Unrecorded,3,2,0,
Mike,Glenn,,,205.0,,Unrecorded,5,6,0,
Ricky,Glenn,The Gladiator,72.0,170.0,70.0,Southpaw,22,9,2,
Mark,Godbeer,The Hand Of,76.0,240.0,77.0,Orthodox,13,4,0,
Clint,Godfrey,,66.0,135.0,,Southpaw,13,3,0,
Loopy,Godinez,,62.0,115.0,61.0,Orthodox,12,5,0,
Jason,Godsey,,74.0,230.0,,Orthodox,16,16,0,
Allan,Goes,,72.0,205.0,,Orthodox,10,5,2,
Billy Ray,Goff,,70.0,170.0,72.0,Switch,9,3,0,
Amiran,Gogoladze,,73.0,170.0,74.0,Switch,14,3,0,
Jonny,Goh,,71.0,155.0,,Unrecorded,3,4,0,
Hannah,Goldy,24K,64.0,115.0,61.0,Orthodox,6,4,0,
Marcelo,Golm,,75.0,249.0,75.0,Orthodox,6,3,0,
Denise,Gomes,Dee,62.0,115.0,63.0,Orthodox,10,3,0,
Sergio,Gomez,,66.0,155.0,,Orthodox,10,3,0,
Frank,Gomez,,70.0,135.0,67.0,Orthodox,10,6,0,
Alan,Gomez,,,155.0,,Unrecorded,2,0,0,
David,Gomez,,,155.0,,Unrecorded,1,2,0,
Ulysses,Gomez,Useless,66.0,125.0,,Orthodox,9,5,0,
Joey,Gomez,KO King,70.0,135.0,73.0,Orthodox,6,2,0,
Luis,Gomez,Tiger Junior,67.0,145.0,68.0,Orthodox,4,1,0,
Joey,Gomez,,70.0,155.0,71.0,Orthodox,7,1,0,
Edson,Gomez,,68.0,170.0,69.0,Switch,6,2,0,
Silvana,Gomez Juarez,La Malvada,63.0,115.0,65.0,Orthodox,11,5,0,
Takanori,Gomi,The Fireball Kid,67.0,155.0,70.0,Southpaw,35,14,0,
William,Gomis,Jaguar,72.0,145.0,73.0,Southpaw,14,3,0,
Akihiro,Gono,,67.0,170.0,68.0,Switch,35,21,8,
Gabriel,Gonzaga,Napao,74.0,242.0,76.0,Orthodox,17,11,0,
Justin,Gonzales,J-Train,69.0,145.0,72.0,Orthodox,6,0,0,
Fernando,Gonzalez,The Menifee Maniac,69.0,170.0,68.0,Southpaw,26,14,0,
Nick,Gonzalez,The Ghost,66.0,155.0,,Orthodox,17,12,0,
Fabian,Gonzalez,,70.0,135.0,,Unrecorded,2,1,0,
Lewis,Gonzalez,Lethal,70.0,170.0,,Orthodox,11,3,0,
Jason,Gonzalez,Nicoya,74.0,155.0,74.0,Southpaw,11,5,0,
Pearl,Gonzalez,,64.0,115.0,,Orthodox,6,3,0,
Jorge,Gonzalez,Street,74.0,205.0,76.0,Orthodox,16,4,0,
Mikey,Gonzalez,Rolls,71.0,155.0,74.0,Orthodox,7,2,0,
Erick,Gonzalez,The Ghost Pepper,71.0,155.0,75.0,Orthodox,14,8,0,
Jennifer,Gonzalez,Jefa,62.0,125.0,,Unrecorded,13,5,0,
Kier,Gooch,,,155.0,,Unrecorded,2,7,0,
Lyman,Good,Cyborg,72.0,170.0,74.0,Orthodox,21,6,0,
Jared,Gooden,NiteTrain,72.0,170.0,77.0,Orthodox,23,10,0,
Gary,Goodridge,Big Daddy,75.0,249.0,,Orthodox,23,22,1,
Jordan,Goodwin,,,155.0,,Unrecorded,0,0,0,
Gerard,Gordeau,,77.0,216.0,,Orthodox,2,2,0,
Eddie,Gordon,Truck,72.0,185.0,76.0,Orthodox,8,4,0,
Jared,Gordon,Flash,69.0,155.0,68.0,Orthodox,20,7,0,
Tebaris,Gordon,Boom,73.0,265.0,,Orthodox,3,1,0,
Malcolm,Gordon,X,67.0,125.0,71.0,Switch,14,8,0,
Tresean,Gore,Mr. Vicious,72.0,185.0,75.0,Switch,6,2,0,
Alex,Gorgees,Hitman,74.0,155.0,74.0,Switch,6,1,0,
Themba,Gorimbo,The Answer,73.0,170.0,77.0,Orthodox,14,5,0,
